"","x"
"908","Coturnix ypsilophora"
"909","Coua caerulea"
"910","Coua coquereli"
"911","Coua cristata"
"912","Coua cursor"
"913","Coua gigas"
"914","Coua serriana"
"915","Coua verreauxi"
"916","Crax alberti"
"917","Crax alector"
"918","Crax blumenbachii"
"919","Crax daubentoni"
"920","Crax fasciolata"
"921","Crax globulosa"
"922","Crax rubra"
"923","Creatophora cinerea"
"924","Creurgops dentatus"
"925","Creurgops verticalis"
"926","Crex crex"
"927","Crinifer piscator"
"928","Crinifer zonurus"
"929","Criniger barbatus"
"930","Criniger calurus"
"931","Criniger chloronotus"
"932","Criniger ndussumensis"
"933","Crossleyia xanthophrys"
"934","Crossoptilon auritum"
"935","Crossoptilon mantchuricum"
"936","Crotophaga ani"
"937","Crotophaga major"
"938","Crotophaga sulcirostris"
"939","Cuculus canorus"
"940","Cuculus crassirostris"
"941","Cuculus gularis"
"942","Cuculus micropterus"
"943","Cuculus poliocephalus"
"944","Cuculus rochii"
"945","Cuculus saturatus"
"946","Cuculus solitarius"
"947","Culicicapa ceylonensis"
"948","Culicicapa helianthea"
"949","Cyanerpes caeruleus"
"950","Cyanerpes lucidus"
"951","Cyanerpes nitidus"
"952","Cyanistes caeruleus"
"953","Cyanistes cyanus"
"954","Cyanochen cyanoptera"
"955","Cyanocitta cristata"
"956","Cyanocitta stelleri"
"957","Cyanocompsa brissonii"
"958","Cyanocorax affinis"
"959","Cyanocorax beecheii"
